Lugar ID,Lugar Name,Scraper Name
101,Agriculture,House Committee on Agriculture
102,Appropriations,House Committee on Appropriations
103,Armed Services,House Committee on Armed Services
104,Budget,House Committee on Budget
105,Education and the Workforce,House Committee on Education and Labor
106,Energy and Commerce,House Committee on Interstate and Foreign Commerce
107,Ethics,House Committee on Standards of Official Conduct
108,Financial Services,House Committee on Banking and Currency
109,Foreign Affairs,House Committee on Foreign Affairs
110,Homeland Security,House Committee on Homeland Security (Select)
111,House Administration,House Committee on House Administration
112,Intelligence,House Committee on Intelligence (Permanent Select)
113,Judiciary,House Committee on Judiciary
114,Natural Resources,House Committee on Interior and Insular Affairs
115,Oversight and Government Reform,House Committee on Government Operations
116,Rules,House Committee on Rules
117,"Science, Space, and Technology",House Committee on Science and Astronautics
118,Small Business,House Committee on Small Business
119,Transportation and Infrastructure,House Committee on Public Works
120,Veterans' Affairs,House Committee on Veterans' Affairs
121,Ways and Means,House Committee on Ways and Means
122,Congressional Executive Commission on China,
201,Aging,Senate Committee on Aging (Special)
202,"Agriculture, Nutrition, and Forestry",Senate Committee on Agriculture and Forestry
203,Appropriations,Senate Committee on Appropriations
204,Armed Services,Senate Committee on Armed Services
205,"Banking, Housing, and Urban Affairs","Senate Committee on Banking, Housing, and Urban Affairs"
206,Budget,Senate Committee on Budget
207,"Commerce, Science, and Transportation",Senate Committee on Commerce
208,Energy and Natural Resources,Senate Committee on Interior and Insular Affairs
209,Environment and Public Works,Senate Committee on Public Works
210,Ethics,Senate Committee on Standards and Conduct (Select)
211,Finance,Senate Committee on Finance
212,Foreign Relations,Senate Committee on Foreign Relations
213,"Health, Education, Labor, and Pensions",Senate Committee on Labor and Public Welfare
214,Homeland Security and Governmental Affairs,Senate Committee on Government Operations
215,Indian Affairs,Senate Committee on Indian Affairs (Select)
216,Intelligence,Senate Committee on Intelligence (Select)
217,Judiciary,Senate Committee on Judiciary
218,Rules and Administration,Senate Committee on Rules and Administration
219,Small Business and Entrepreneurship,Senate Committee on Small Business (Select)
220,International Narcotics Control,Senate Committee on Caucus on International Narcotics Control
221,Veterans' Affairs,Senate Committee on Veterans' Affairs
1011,"Commodity Exchanges, Energy, and Credit","Subcommittee on Department Operations, Oversight, Nutrition, and Forestry"
1012,Conservation and Forestry,"Subcommittee on Conservation, Credit, Rural Development, and Research"
1013,Nutrition,"Subcommittee on Livestock, Dairy and Poultry"
1014,General Farm Commodities and Risk Management,Subcommittee on General Farm Commodities and Risk Management
1015,"Biotechnology, Horticulture, and Research",Subcommittee on Specialty Crops and Foreign Agriculture Programs
1016,Livestock and Foreign Agriculture,"Subcommittee on Livestock, Dairy, and Poultry"
1021,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Subcommittee on Agriculture, Rural Development and Related Agencies"
1022,"Commerce, Justice, State, and the Judiciary","Subcommittee on Commerce, Justice, State, and the Judiciary"
1023,Defense,Subcommittee on Defense
1024,Energy and Water Development,Subcommittee on Energy and Water
