DATE,NAME,COMMITTEE,CATEGORY
2016-09-13,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,House Committee on Agriculture,Legislative
2016-05-17,FOCUS ON THE FARM ECONOMY,House Committee on Agriculture,Policy
2016-03-17,HEARINGS TO EXAMINE USDA ORGANIZATION AND PROGRAM ADMINISTRATION,House Committee on Agriculture,Policy
2016-03-15,DEFENDING AMERICAN AGRICULTURE AGAINST FOREIGN PESTS AND DISEASES,House Committee on Agriculture,Fact Finding
2016-03-01,VOLUNTARY CONSERVATION: UTILIZING INNOVATION AND TECHNOLOGY,House Committee on Agriculture,Fact Finding
2016-02-25,HEARING TO REVIEW THE G20 SWAP DATA REPORTING GOALS,House Committee on Agriculture,Policy
2016-02-24,HEARING TO REVIEW THE STATE OF THE RURAL ECONOMY,House Committee on Agriculture,Fact Finding
2016-02-11,HEARING TO CONSIDER THE IMPACTS OF THE ENVIRONMENTAL PROTECTION AGENCY'S ACTIONS ON THE RURAL ECONOMY,House Committee on Agriculture,Fact Finding
2016-02-11,FOOT-AND-MOUTH DISEASE: ARE WE PREPARED?,House Committee on Agriculture,Policy
2016-02-10,HEARING TO REVIEW THE 2016 AGENDA FOR THE COMMODITY FUTURES TRADING COMMISSION,House Committee on Agriculture,Policy
2016-02-03,HEARING TO REVIEW INCENTIVE PROGRAMS AIMED AT INCREASING LOW-INCOME FAMILIES' PURCHASING POWER FOR FRUITS AND VEGETABLES,House Committee on Agriculture,Policy
2016-02-02,OPPORTUNITIES AND CHALLENGES IN DIRECT MARKETING,House Committee on Agriculture,Fact Finding
2015-12-09,OVERSIGHT OF USDA'S USE OF CENSUS OF AGRICULTURE AUTHORITY TO ACQUIRE FARMERS' PERSONAL FINANCIAL INFORMATION,House Committee on Agriculture,Policy
2015-12-09,COMMODITY IN FOCUS: STRESS IN COTTON COUNTRY,House Committee on Agriculture,Fact Finding
2015-12-02,HEARING TO REVIEW THE FARM CREDIT SYSTEM,House Committee on Agriculture,Policy
2015-11-18,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,House Committee on Agriculture,Legislative
2015-11-17,U.S. INTERNATIONAL FOOD AID PROGRAMS: TRANSPORTATION PERSPECTIVES,House Committee on Agriculture,Fact Finding
2015-11-04,AMERICAN AGRICULTURE AND OUR NATIONAL SECURITY,House Committee on Agriculture,Fact Finding
2015-10-28,BIG DATA AND AGRICULTURE: INNOVATION AND IMPLICATIONS,House Committee on Agriculture,Fact Finding
2015-10-21,FOREIGN SUBSIDIES: JEOPARDIZING FREE TRADE AND HARMING AMERICAN FARMERS,House Committee on Agriculture,Fact Finding
2015-10-08,HEARING TO REVIEW THE 2015 FIRE SEASON AND LONG-TERM TRENDS,House Committee on Agriculture,Policy
2015-10-07,HEARING TO REVIEW THE DEVELOPMENT OF THE 2015 DIETARY GUIDELINES FOR AMERICANS,House Committee on Agriculture,Policy
2015-09-29,HEARING TO HIGHLIGHT RESEARCH INNOVATIONS ACHIEVED BY OUR NATION'S AGRICULTURAL COLLEGES AND UNIVERSITIES,House Committee on Agriculture,Fact Finding
2015-09-15,HEARINGS TO REVIEW USDA ORGANIZATION AND PROGRAM ADMINISTRATION,House Committee on Agriculture,Policy
2015-07-30,EXAMINATION OF FEDERAL AND STATE RESPONSE TO AVIAN INFLUENZA,House Committee on Agriculture,Policy
2015-07-29,DODD-FRANK TURNS FIVE: ASSESSING THE PROGRESS OF GLOBAL DERIVATIVES REFORMS,House Committee on Agriculture,Fact Finding
2015-07-22,OVERSIGHT OF THE U.S. DEPARTMENT OF AGRICULTURE,House Committee on Agriculture,Policy
2015-07-15,RECOGNIZING THE CONTINUING CONTRIBUTIONS OF THE 1890S LAND-GRANT UNIVERSITIES ON THE 125TH ANNIVERSARY OF THE PASSAGE OF THE SECOND MORRILL ACT,House Committee on Agriculture,Fact Finding
2015-07-09,U.S. INTERNATIONAL FOOD AID PROGRAMS: OVERSIGHT AND ACCOUNTABILITY,House Committee on Agriculture,Policy
2015-07-08,ENERGY AND THE RURAL ECONOMY: THE ECONOMIC IMPACT OF EXPORTING CRUDE OIL,House Committee on Agriculture,Fact Finding
2015-06-25,HEARING TO REVIEW USDA MARKETING PROGRAMS,House Committee on Agriculture,Policy
2015-06-25,HOW OUR WELFARE SYSTEM CAN DISCOURAGE WORK,House Committee on Agriculture,Fact Finding
2015-06-24,HEARING TO REVIEW U.S. INTERNATIONAL FOOD AID PROGRAMS,House Committee on Agriculture,Policy
2015-06-11,IMPLEMENTING THE AGRICULTURAL ACT OF 2014: CONSERVATION PROGRAMS,House Committee on Agriculture,Policy
2015-06-10,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,House Committee on Agriculture,Legislative
2015-06-03,HEARING TO REVIEW AGRICULTURAL SUBSIDIES IN FOREIGN COUNTRIES,House Committee on Agriculture,Fact Finding
2015-06-02,UPDATE ON THE FINANCIAL HEALTH OF FARM COUNTRY,House Committee on Agriculture,Policy
2015-05-13,HEARING TO REVIEW THE FEDERAL COORDINATION AND RESPONSE REGARDING POLLINATOR HEALTH,House Committee on Agriculture,Policy
2015-04-29,HEARING TO REVIEW THE NATIONAL FOREST SYSTEM AND ACTIVE FOREST MANAGEMENT,House Committee on Agriculture,Policy
2015-04-22,HEARING TO REVIEW REAUTHORIZATION OF THE U.S. GRAIN STANDARDS ACT,House Committee on Agriculture,Legislative
2015-04-22,HEARING TO REVIEW REAUTHORIZATION OF THE LIVESTOCK MANDATORY REPORTING ACT,House Committee on Agriculture,Legislative
2015-04-14,A PRESENTATION BY NATIONAL 4-H CONFERENCE PARTICIPANTS CONCERNING THE FUTURE OF AGRICULTURE IN THE UNITED STATES,House Committee on Agriculture,Fact Finding
2015-03-26,IMPLEMENTING THE AGRICULTURAL ACT OF 2014: COMMODITY POLICY AND CROP INSURANCE,House Committee on Agriculture,Policy
2015-03-25,HEARING TO EXAMINE THE IMPLICATIONS OF POTENTIAL RETALIATORY MEASURES TAKEN AGAINST THE UNITED STATES IN RESPONSE TO MEAT LABELING REQUIREMENTS,House Committee on Agriculture,Policy
2015-03-24,REAUTHORIZING THE COMMODITY FUTURES TRADING COMMISSION,House Committee on Agriculture,Legislative
2015-03-24,EXAMINATION OF THE COSTS AND IMPACTS OF MANDATORY BIOTECHNOLOGY LABELING LAWS,House Committee on Agriculture,Fact Finding
2015-03-18,THE IMPORTANCE OF TRADE TO U.S. AGRICULTURE,House Committee on Agriculture,Fact Finding
2015-03-17,HEARING TO REVIEW THE DEFINITION OF THE WATERS OF THE UNITED STATES,House Committee on Agriculture,Legislative
2015-02-11,HEARING TO REVIEW THE STATE OF THE RURAL ECONOMY,House Committee on Agriculture,Fact Finding
2014-09-18,THE BENEFITS OF PROMOTING SOIL HEALTH IN AGRICULTURE AND RURAL AMERICA,House Committee on Agriculture,Fact Finding
2014-09-17,HEARING TO REVIEW THE IMPLEMENTATION OF SECTION 4022 OF THE AGRICULTURAL ACT OF 2014: PILOT PROJECTS TO REDUCE DEPENDENCY AND INCREASE WORK REQUIREMENTS AND WORK EFFORTS UNDER THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,House Committee on Agriculture,Policy
2014-09-10,HEARING TO REVIEW THE U.S. FOREST SERVICE'S PROPOSED GROUNDWATER,House Committee on Agriculture,Legislative
2014-07-30,HEARING TO REVIEW THE IMPACT OF ENFORCEMENT ACTIVITIES BY THE,House Committee on Agriculture,Policy
2014-07-29,COORDINATING FUTURE INVESTMENTS IN BROADBAND,House Committee on Agriculture,Policy
2014-07-24,HEARING TO EXAMINE THE ROLE OF THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM IN RELATION TO OTHER FEDERAL ASSISTANCE PROGRAMS,House Committee on Agriculture,Policy
2014-07-10,IMPLEMENTING THE AGRICULTURAL ACT OF 2014: COMMODITY POLICY AND CROP INSURANCE,House Committee on Agriculture,Policy
2014-07-09,HEARING TO CONSIDER THE SOCIETAL BENEFITS OF BIOTECHNOLOGY,House Committee on Agriculture,Fact Finding
2014-06-25,A REVIEW OF CREDIT AVAILABILITY IN RURAL AMERICA,House Committee on Agriculture,Fact Finding
