Committees and Subcommittees,b,c,Categorizations,e
101,Agriculture,,1,Nominations
1010,Full Committee,,2,Legislative
1011,"Commodity Exchanges, Energy, and Credit",,3,Policy
1012,Conservation and Forestry,,4,Agency Conduct
1013,Subcommittee on Nutrition,,5,Private Sector Oversight
1014,General Farm Commodities and Risk Management,,6,Fact Finding
1015,"Biotechnology, Horticulture, and Research",,7,Field
1016,Livestock and Foreign Agriculture,,8,Closed
102,Appropriations,,9,Meeting/Markup
1020,Full Committee,,10,Postponed
1021,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",,11,Report
1022,"Commerce, Justice, State, and the Judiciary",,12,Cancelled
1023,Defense,,13,Testimony
1024,"Energy and Water Development",,,
1025,Treasury-Postal Service-General Government,,,
1026,National Security,,,
1027,Interior,,,
1028,Labor-Health and Human Services,,,
1029,Legislative,,,
10201,"VA, HUD, and Independent Agencies",,,
10202,Foreign Operations,,,
10203,Transportation and Related Agencies,,,
103,Armed Services,,,
1030,Full Committee,,,
1031,Emerging Threats and Capabilities,,,
1032,Military Personnel,,,
1033,Oversight and Investigations,,,
1034,Readiness,,,
1035,Seapower and Projection Forces,,,
1036,Strategic Forces,,,
1037,Tactical Air and Land Forces,,,
1038,Panel on Business Challenges within the Defense Industry,,,
1039,Panel on Defense Financial Management and Auditability Reform,,,
10301,Panel on Defense Acquisition Reform,,,
104,Budget,,,
1040,Full Committee,,,
105,Education and the Workforce,,,
1050,Full Committee,,,
1051,"Early Childhood, Elementary, and Secondary Education",,,
1052,Higher Education and Workforce Training,,,
1053,Workforce Protections,,,
1054,"Health, Employment, Labor, and Pensions",,,
1055,Healthy Families and Communities,,,
106,Energy and Commerce,,,
1060,Full Committee,,,
1061,Communications and Technology,,,
1062,"Commerce, Trade and Consumer Protection",,,
1063,Subcommittee on Energy,,,
1064,Subcommittee on Environment,,,
1065,Health,,,
1066,Oversight and Investigations,,,
107,House Committee on Ethics,,,
1070,Full Committee,,,
108,Financial Services,,,
1080,Full Committee,,,
1081,"Capital Markets, Securities",,,
1082,Financial Institutions and Consumer Credit,,,
1083,Housing and Insurance,,,
1084,Monetary Policy and Trade,,,
1085,Oversight and Investigation,,,
1086,Terrorism and Illicit Finance,,,
1087,Domestic Monetary Policy and Technology,,,
109,Foreign Affairs,,,
1090,Full Committee,,,
1091,"Africa, Global Human Rights and International Operations",,,
1092,Asia and the Pacific,,,
1093,"Europe, Eurasia, and Emerging Threats",,,
1094,Middle East and North Africa,,,
1095,"Terrorism, Nonproliferation, and Trade",,,
1096,Western Hemisphere,,,
110,Homeland Security,,,
1100,Full Committee,,,
1101,Border and Maritime Security,,,
1102,Counterterrorism and Intelligence,,,
1103,"Cybersecurity, Infrastructure Protection",,,
1104,"Emergency Preparedness, Response, and Communications",,,
1105,Oversight and Management Efficiency,,,
1106,Transportation Security,,,
11002,"Prevention of Nuclear and Biological Attack",,,
11003,"Science, and Research and Development",,,
111,House Administration,,,
1110,Full Committee,,,
1111,Libraries,,,
1112,Printing,,,
1113,Elections,,,
112,Intelligence,,,
1120,Full Committee,,,
1121,CIA,,,
1122,"Department of Defense, Intelligence and Overhead Architecture",,,
1123,Emerging Threats,,,
1124,NSA and Cybersecurity,,,
113,Judiciary,,,
1130,Full Committee,,,
1131,Constitution and Civil Justice,,,
1132,"Courts, Intellectual Property, and the Internet",,,
1133,"Crime, Terrorism, Homeland Security, and Investigations",,,
1134,Immigration and Border Security,,,
1135,"Regulatory Reform, Commercial and Antitrust Law",,,
1136,Task Force on Antitrust and Competition Policy,,,
1137," Citizenship, Refugees, Border Security, and International Law",,,
1138,Commercial and Administrative Law,,,
1139,"titution, Civil Rights, and Civil Liberties",,,
114,Natural Resources,,,
1140,Full Committee,,,
1141,Energy and Mineral Resources,,,
1142,Federal Lands,,,
1143,"Indian, Insular and Alaska Native Affairs",,,
1144,Oversight and Investigations,,,
1145,"Water, Power and Oceans",,,
1146,"National Parks and Public Lands",,,
1147,Public Lands and Environmental Regulation,,,
1148,"Fisheries, Wildlife, Oceans, and Insular Affairs",,,
115,Oversight and Government Reform,,,
1150,Full Committee,,,
1151,"Government Management, Finance, and Accountability",,,
1152,"Healthcare, Benefits, and Administrative Rules",,,
1153,Information Technology,,,
1154,Government Information and Individual Rights,,,
1155,"Environment, Energy, and Natural Resources",,,
1156,National Security,,,
116,Rules,,,
1160,Full Committee,,,
1161,Legislative and Budget Process,,,
1162,Rules and Organization of the House,,,
117,"Science, Space, and Technology",,,
1170,Full Committee,,,
1171,Subcommittee on Energy,,,
1172,Subcommittee on Environment,,,
1173,Investigations and Oversight,,,
1174,Research and Technology,,,
1175,Space,,,
1176,Energy and Environment,,,
1177,Research and Science,,,
1178,Technology and Innovation,,,
118,Small Business,,,
1180,Full Committee,,,
1181,Energy and Agriculture,,,
1182,Health and Technology,,,
1183,"Tax, Access to Equity Capital and Business Opportunities",,,
1184,Investigations and Oversight,,,
1185,Contracting and Workforce,,,
119,Transportation and Infrastructure,,,
1190,Full Committee,,,
1191,Aviation,,,
1192,Coast Guard and Maritime Transportation,,,
1193,Public Buildings and Economic Development,,,
1194,Highways and Transit,,,
1195,"Railroads, Pipelines, and Hazardous Materials",,,
1196,Water Resources and Environment,,,
1197,Panel on Public-Private Partnerships,,,
1198,Panel on 21st Century Freight Transportation,,,
120,Veterans' Affairs,,,
1200,Full Committee,,,
1201,Disability Assistance and Memorial Affairs,,,
1202,Economic Opportunity,,,
1203,Health,,,
1204,Oversight and Investigations,,,
121,Ways and Means,,,
1210,Full Committee,,,
1211,Health,,,
1212,Human Resources,,,
1213,Oversight,,,
1214,Social Security,,,
1215,Trade,,,
1216,Tax Policy,,,
122,Congressional Executive Commission on China,,,
1220,Full Commission,,,
123,House Committee on Select Committee on Energy Independence and Global Warming,,,
