code,name
201,Senate Committee on Aging
202,"Senate Committee on Agriculture, Nutrition, and Forestry"
203,Senate Committee on Appropriations
204,Senate Committee on Armed Services
205,"Senate Committee on Banking, Housing, and Urban Affairs"
206,Senate Committee on Budget
207,"Senate Committee on Commerce, Science, and Transportation"
208,Senate Committee on Energy and Natural Resources
209,Senate Committee on Environment and Public Works
210,Senate Committee on Ethics
211,Senate Committee on Finance
212,Senate Committee on Foreign Relations
213,"Senate Committee on Health, Education, Labor, and Pensions"
214,Senate Committee on Homeland Security and Governmental Affairs
215,Senate Committee on Indian Affairs
216,Senate Committee on Intelligence
217,Senate Committee on Judiciary
218,Senate Committee on Rules and Administration
219,Senate Committee on Small Business and Entrepreneurship
220,Senate Committee on International Narcotics Control
221,Senate Committee on Veterans' Affairs
